Symbol,Date,Open,High,Low,Close,Volume
AAIT,29-Aug-2014,34.59,34.68,34.59,34.68,200
AAL,29-Aug-2014,39.1,39.35,38.36,38.88,6648700
AAME,29-Aug-2014,4.08,4.12,4.02,4.08,6600
AAOI,29-Aug-2014,21.74,21.86,20.79,21.24,209300
AAON,29-Aug-2014,18.41,18.74,18.33,18.66,69900
AAPL,29-Aug-2014,102.81,102.9,102.2,102.5,44595200
AAVL,29-Aug-2014,29.4,31.19,28.8,29.63,55600
AAWW,29-Aug-2014,33,33.72,33,33.45,252300
AAXJ,29-Aug-2014,65.73,65.9,65.5,65.72,429500
ABAC,29-Aug-2014,1.9,1.93,1.85,1.89,21500
ABAX,29-Aug-2014,47.19,47.9,46.91,47.75,84600
ABCB,29-Aug-2014,22.85,22.97,22.62,22.89,40700
ABCD,29-Aug-2014,1.64,1.66,1.62,1.65,13000
ABCO,29-Aug-2014,48.82,49.71,48.03,49.6,148100
ABDC,29-Aug-2014,13.53,13.7,13.33,13.68,44300
ABGB,29-Aug-2014,28.86,29.15,28.75,28.78,3500
ABIO,29-Aug-2014,1.4,1.4,1.36,1.4,87000
ABMD,29-Aug-2014,26.08,26.33,25.89,26.05,162700
ABTL,29-Aug-2014,8.09,8.29,8.06,8.19,77100
ABY,29-Aug-2014,39.2,40.26,38.7,40.11,141000
ACAD,29-Aug-2014,23.64,24.14,23.58,23.98,636500
ACAS,29-Aug-2014,15.51,15.63,15.44,15.49,1036500
ACAT,29-Aug-2014,37.07,37.43,36.83,37.02,90300
ACET,29-Aug-2014,18.85,19.24,18.7,19.22,100900
ACFC,29-Aug-2014,4.16,4.16,4.15,4.16,3400
ACFN,29-Aug-2014,1.93,1.93,1.87,1.87,61200
ACGL,29-Aug-2014,55.41,55.89,55.4,55.58,390500
ACHC,29-Aug-2014,51.84,52.37,51.12,51.21,314600
ACHN,29-Aug-2014,11.44,11.59,11.28,11.57,4373300
ACIW,29-Aug-2014,19.3,19.51,19.1,19.47,417400
ACLS,29-Aug-2014,2,2.02,1.94,2.02,218300
ACNB,29-Aug-2014,19.1,19.59,19.05,19.24,2500
ACOR,29-Aug-2014,32.3,32.87,32.05,32.58,142800
ACPW,29-Aug-2014,2.19,2.2,2.19,2.2,40200
ACRX,29-Aug-2014,7.15,7.33,7.01,7.15,415000
ACSF,29-Aug-2014,14.05,14.05,13.96,13.99,37500
ACST,29-Aug-2014,0.94,0.96,0.94,0.94,222300
ACTG,29-Aug-2014,17.73,17.91,17.5,17.79,175600
ACTS,29-Aug-2014,2.38,2.42,2.38,2.42,125400
ACUR,29-Aug-2014,0.98,0.99,0.96,0.98,64900
ACWI,29-Aug-2014,60.84,60.92,60.65,60.92,2565100
ACWX,29-Aug-2014,47.76,47.81,47.62,47.78,214600
ACXM,29-Aug-2014,18.44,18.57,18.23,18.55,263200
ADAT,29-Aug-2014,0.75,0.75,0.72,0.72,25800
ADBE,29-Aug-2014,71.77,72.1,71.4,71.9,1659400
ADEP,29-Aug-2014,8.47,8.47,8,8.07,589500
ADES,29-Aug-2014,20.55,21.81,20.27,21.79,179500
ADHD,29-Aug-2014,19.13,19.5,18.78,19.26,163800
ADI,29-Aug-2014,51.67,51.7,50.91,51.12,1631400
ADMP,29-Aug-2014,3.93,4.07,3.87,4.02,61700
ADMS,29-Aug-2014,17.8,18.75,17.8,18.74,39000
ADNC,29-Aug-2014,8.36,8.68,8.27,8.58,290000
ADP,29-Aug-2014,83.95,83.95,82.91,83.48,1556800
ADRA,29-Aug-2014,30.8,30.85,30.8,30.84,1600
ADRD,29-Aug-2014,25.17,25.17,25.12,25.15,1700
ADRE,29-Aug-2014,43.32,43.52,43.23,43.51,20300
ADRU,29-Aug-2014,25.14,25.17,25.1,25.17,1900
ADSK,29-Aug-2014,54.28,54.39,53.44,53.64,1774800
ADTN,29-Aug-2014,23,23.14,22.93,23.08,154700
ADUS,29-Aug-2014,22,22.03,21.56,21.9,24100
ADVS,29-Aug-2014,32.14,32.37,31.83,32.31,337300
ADXS,29-Aug-2014,3.74,3.93,3.7,3.88,362300
ADXSW,29-Aug-2014,1.31,1.5,1.31,1.41,2600
AEGN,29-Aug-2014,24.46,24.78,24.12,24.66,221200
AEGR,29-Aug-2014,30.64,31.02,30.08,30.55,812900
AEHR,29-Aug-2014,2.54,2.58,2.53,2.54,12600
AEIS,29-Aug-2014,19.09,19.29,18.97,19.25,176300
AEPI,29-Aug-2014,42.26,42.78,42.23,42.35,40300
AERI,29-Aug-2014,16.81,17.02,16.22,16.38,217800
AETI,29-Aug-2014,6.97,6.97,6.66,6.96,40500
AEY,29-Aug-2014,2.4,2.4,2.38,2.38,15600
AEZS,29-Aug-2014,1.45,1.52,1.43,1.5,5569700
